latitude,longtude,osm_id,name,other_tags
7.11667,38.63333,1150956775,Abaro,"""is_in:continent""=>""Africa"",""is_in:country""=>""Ethiopia"",""is_in:country_code""=>""ET"""
7.1000272,38.6268749,4186956862,soil lab,"""amenity""=>""library"""
7.1012967,38.6275916,4210285165,bangalo loge,"""building""=>""yes"""
7.1028059,38.6294778,4210290536,house of society,"""building""=>""yes"""
7.1014687,38.6275358,4210291855,Guest house,"""amenity""=>""cafe"""
7.1011795,38.6280003,4210317654,Teachers lounge,"""building""=>""yes"""
7.0957513,38.6031873,4248911933,ford,"""ford""=>""yes"""
7.101676,38.6328735,4566913009,sawmill,"""craft""=>""sawmill"""
7.0924806,38.6137005,4743023008,wall,
7.0993351,38.6386074,4887431044,tower,"""tower:type""=>""observation"""
7.0940396,38.6223845,6463584285,Agri research center,"""name:en""=>""Wondo genet agricultural research center"",""office""=>""government"""
7.1010154,38.6270522,6561275686,WGCF,"""amenity""=>""college"",""name:en""=>""Wondo Genet College of Forestry and Natural Resources"",""operator""=>""Hawassa University"""
7.1009027,38.6275769,9633307032,tree,"""natural""=>""tree"""
7.0990572,38.6264944,9635110311,wood,"""natural""=>""wood"""
7.1090889,38.6209199,9635414532,bechmark,
7.107319,38.6137461,9635556378,guard's tower,
7.1067,38.6155337,9635879467,Mini_market,"""description""=>""it is a mini market shop right outside of WGCF campus"",""shop""=>""supermarket"""
7.1065423,38.6156229,9635879470,supermarket,"""amenity""=>""restaurant"",""cuisine""=>""coffee_shop"""
7.098667,38.6285748,9637335144,restaurant,"""amenity""=>""drinking_water"""
7.0995666,38.6253488,9637470163,tape water,"""natural""=>""tree"""
7.0995466,38.6286063,9637523603,fountain,"""amenity""=>""fountain"",""description""=>""it is a fountain"""
7.1125941,38.6126832,9637992044,Mosque,"""amenity""=>""place_of_worship"",""religion""=>""muslim"",""service_times""=>""at 9:00 pm, 6:00 am 11:00 pm"""
7.099697,38.6282933,9638091956,ficus vasta,"""description""=>""warka_tree"",""natural""=>""tree"""
7.1000486,38.6282568,9638091957,tree,"""natural""=>""tree"""
7.1013846,38.6264223,9638164127,tree,"""natural""=>""tree"""
7.1014511,38.6258399,9643517116,power station,"""description""=>""it the place where generator is located and use as power station when electric power is turn off."",""generator:method""=>""thermal"",""generator:source""=>""gas"",""power""=>""generator"""
7.1024666,38.6258481,9644788021,tree,"""natural""=>""tree"""
7.1033237,38.6253315,9644788322,tree,"""natural""=>""tree"""
7.1018278,38.6265642,9644789218,tree,"""natural""=>""tree"""
7.106421,38.6161659,9644930510,tower,"""amenity""=>""place_of_worship"""
